/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('light:red', 'waypoint:left', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : -20.14
 -- None : 0.90
 -- right : -10.41
 -- left : -20.33

('light:red', 'waypoint:forward', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:right')
 -- forward : -5.17
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : -7.95
 -- None : 1.74
 -- right : 0.00
 -- left : -7.75

('light:red', 'waypoint:right', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:right')
 -- forward : -5.45
 -- None : 0.00
 -- right : 1.48
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:left', 'vehicle_right:forward', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -20.48

('light:red', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : 0.20
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:forward', 'vehicle_left:forward', 'vehicle_right:left', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.79
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:right', 'vehicle_right:forward', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.65
 -- left : 0.00

('light:green', 'waypoint:left', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : -2.99
 -- right : 0.00
 -- left : 1.00

('light:red', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -4.81

('light:green', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:forward', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:forward', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.07

('light:red', 'waypoint:forward', 'vehicle_left:forward', 'vehicle_right:None', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.19
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:forward', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : 0.00
 -- right : -9.76
 -- left : 0.00

('light:red', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:forward', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.55
 -- left : 0.00

('light:green', 'waypoint:left', 'vehicle_left:forward', 'vehicle_right:right', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 1.25

('light:green', 'waypoint:left', 'vehicle_left:right', 'vehicle_right:None', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : -2.76
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:right', 'vehicle_oncoming:right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.23

('light:green', 'waypoint:left', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : -0.22
 -- None : 0.00
 -- right : 0.00
 -- left : 1.86

('light:green', 'waypoint:forward', 'vehicle_left:forward', 'vehicle_right:right', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : -2.94
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.29

('light:green', 'waypoint:forward', 'vehicle_left:forward', 'vehicle_right:left', 'vehicle_oncoming:right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:right', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.73
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:forward', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.77
 -- right : 0.74
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:left', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:None', 'vehicle_right:right', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.17

('light:red', 'waypoint:left', 'vehicle_left:None', 'vehicle_right:right', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.00
 -- left : -5.29

('light:green', 'waypoint:left', 'vehicle_left:right', 'vehicle_right:forward', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.30
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : -2.19
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:right', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 0.69
 -- left : 0.00

('light:green', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : -2.45
 -- right : 0.80
 -- left : 0.00

('light:green', 'waypoint:forward', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 2.48
 -- None : -2.77
 -- right : 1.10
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:None', 'vehicle_right:None', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.42
 -- left : 0.19

('light:green', 'waypoint:right', 'vehicle_left:forward', 'vehicle_right:left', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.01
 -- left : 0.00

('light:red', 'waypoint:left', 'vehicle_left:left', 'vehicle_right:right', 'vehicle_oncoming:forward')
 -- forward : 0.00
 -- None : 0.67
 -- right : 0.00
 -- left : 0.00

('light:red', 'waypoint:right', 'vehicle_left:left', 'vehicle_right:None', 'vehicle_oncoming:None')
 -- forward : 0.00
 -- None : 0.94
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:left', 'vehicle_left:None', 'vehicle_right:forward', 'vehicle_oncoming:left')
 -- forward : 0.00
 -- None : -2.93
 -- right : 0.00
 -- left : 0.00

('light:green', 'waypoint:right', 'vehicle_left:None', 'vehicle_right:left', 'vehicle_oncoming:right')
 -- forward : 0.00
 -- None : 0.00
 -- right : 1.18
 -- left : 0.00

